@relation training-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.instance.StratifiedRemoveFolds-S1-N5-F1

@attribute SeriousDlqin2yrs {0,1}
@attribute RevolvingUtilizationOfUnsecuredLines numeric
@attribute age numeric
@attribute NumberOfTime30_59DaysPastDueNotWorse numeric
@attribute DebtRatio numeric
@attribute MonthlyIncome numeric
@attribute NumberOfOpenCreditLinesAndLoans numeric
@attribute NumberOfTimes90DaysLate numeric
@attribute NumberRealEstateLoansOrLines numeric
@attribute NumberOfTime60_89DaysPastDueNotWorse numeric
@attribute NumberOfDependents numeric

@data
0,0.207999,81,0,0.031312,1500,6,0,0,0,1
0,0.015129,58,0,0.210686,7916,7,0,1,0,1
0,0.204759,54,0,1219,?,3,0,1,0,0
0,0.472298,42,0,0.108731,3733,5,0,0,0,0
0,1,35,0,2262,?,8,0,2,0,1
0,0.291618,36,0,0.252282,16100,8,0,2,0,2
0,0.021521,59,0,0.152856,8000,5,0,2,0,0
0,0.70212,55,1,0.349432,8633,21,0,1,0,1
0,0.577782,46,0,0.133484,20833,8,1,2,0,2
0,0.902529,24,0,1.766169,200,2,1,0,0,0
0,0.281627,60,3,0.639296,3750,10,0,2,0,0
0,0.990267,66,0,0.352124,6119,4,0,2,0,0
0,0.140022,47,0,0.200465,12475,8,0,1,0,1
0,0.155729,35,0,1160,?,4,0,2,0,0
0,2.124728,28,2,0.589413,1548,8,0,0,1,0
0,0.142179,43,0,0.569198,5700,8,0,2,0,1
0,0.015102,69,0,22,?,4,0,0,0,?
0,0.183266,53,0,0.330495,7046,13,0,1,0,0
0,0.751071,29,0,0.434334,6197,11,1,4,0,0
0,0.137542,44,0,0.02002,5943,6,0,0,0,0
0,0.015616,60,0,0.281706,9800,12,0,2,0,1
0,0.093512,42,0,0.437188,6200,23,0,2,0,3
0,0.140523,59,0,0.543308,6141,15,0,2,0,1
0,0.509869,30,1,0.373605,8334,9,0,2,0,0
0,0.001964,67,0,0.072948,6250,12,0,1,0,0
0,0.008558,39,0,0.08523,10500,9,0,1,0,0
0,0.087117,49,0,0.23338,9250,10,0,1,0,0
0,0.446856,35,3,0.458495,3083,7,0,1,0,1
0,0.167738,75,1,1.009224,1300,8,0,1,0,0
0,0.000267,39,0,0.171199,5221,4,0,0,0,3
0,0.624404,81,0,0.3927,4766,8,0,1,0,0
0,0.066681,41,0,0.280272,10000,7,0,1,2,1
0,0.025356,49,0,0.153207,5893,11,0,1,0,3
0,0.005204,48,0,0.424842,3485,11,0,1,0,0
0,0.001925,73,0,0.000584,3423,4,0,0,0,0
0,0.000919,31,0,0.030988,6550,25,0,0,0,1
0,0.053392,51,0,0.378431,12350,14,0,3,0,3
0,0.889622,30,0,1.120303,3166,8,0,2,0,0
